start_time,mean_CPU_usage,canonical_mem_usage,assigned_mem_usage,unmapped_page_cache_mem_usage,total_page_cache_mem_usage,max_mem_usage,mean_disk_IO_time,mean_local_disk_space_used,max_CPU_usage,max_disk_IO_time,CPI,MAI,sampled_CPU_usage,nr_of_tasks
600000000.0,0.00313,0.13574,0.15123999999999999,0.0014754999999999998,0.002203,0.13574,8.582999999999999e-06,0.0003748,0.07269,0.0012856,4.545,0.013034,0.0,2
900000000.0,0.002802,0.13574,0.15123999999999999,0.0014765,0.002206,0.13574,1.7165e-05,0.0003729,0.05804000000000001,0.0027867,4.4079999999999995,0.012514,0.0,2
1200000000.0,0.002942,0.13574,0.15123999999999999,0.0014843,0.0022128,0.13574,9.537e-06,0.0003729,0.11725000000000001,0.00128653,4.683999999999999,0.01381,0.0,2
1500000000.0,0.002758,0.13574,0.15123999999999999,0.0014751999999999999,0.0022047,0.13574,6.676e-06,0.0003729,0.04529,0.0003577,4.429,0.012871,0.0,2
1800000000.0,0.002978,0.13574,0.15123999999999999,0.0014723,0.0021999000000000003,0.13574,4.768e-06,0.0003729,0.043160000000000004,0.00021463,4.545,0.013163000000000001,0.0,2
2100000000.0,0.002745,0.13574,0.15123999999999999,0.0014723,0.0022028,0.13574,6.675e-06,0.0003729,0.0376,0.0006428,4.667,0.013434999999999999,0.0,2
2400000000.0,0.003147,0.13574,0.15123999999999999,0.0014742,0.0022017,0.13574,6.676e-06,0.0003729,0.02602,0.00035763,4.7010000000000005,0.013678,0.0,2
2700000000.0,0.002892,0.13574,0.15123999999999999,0.0012986,0.0020261,0.13574,5.722e-06,0.0003729,0.050269999999999995,0.0004292,4.804,0.013941,0.0,2
3000000000.0,0.002792,0.13574,0.15123999999999999,0.0012607,0.0019882,0.13574,6.675e-06,0.0003729,0.025480000000000003,0.00078583,4.487,0.012886,0.0,2
3300000000.0,0.002682,0.13574,0.15123999999999999,0.0012703999999999999,0.0019989,0.13574,5.722e-06,0.0003729,0.04495,0.0004292,4.63,0.013257000000000001,0.0,2
3600000000.0,0.00296,0.13574,0.15123999999999999,0.0012822,0.0020106,0.13574,7.628999999999999e-06,0.0003729,0.038239999999999996,0.001071,4.871,0.014099,0.0,2
3900000000.0,0.002752,0.13574,0.15123999999999999,0.0012938000000000001,0.0020214,0.13574,6.676e-06,0.0003729,0.0308,0.0004998,4.9559999999999995,0.014447,0.0,2
4200000000.0,0.002839,0.13574,0.15123999999999999,0.0013056,0.0020331,0.13574,1.4301e-05,0.0003729,0.0519,0.0030001000000000003,4.818,0.013923,0.0,2
4500000000.0,0.003177,0.13574,0.15123999999999999,0.0013162,0.0020458,0.13574,6.676e-06,0.0003729,0.04113,0.0004292,4.601,0.012681999999999999,0.0,2
4800000000.0,0.003026,0.13574,0.15123999999999999,0.0013299,0.0020584,0.13574,5.722e-06,0.0003729,0.044120000000000006,0.00042823,4.148,0.010926,0.0,2
5100000000.0,0.002865,0.13574,0.15123999999999999,0.0013376,0.0020662,0.13574,1.5261e-05,0.0003729,0.028749999999999998,0.0033547,4.5569999999999995,0.012902,0.0,2
5400000000.0,0.0029620000000000002,0.13574,0.15123999999999999,0.0013484,0.0020759,0.13574,6.676e-06,0.0003729,0.059230000000000005,0.00021463,4.6579999999999995,0.013326,0.0,2
5700000000.0,0.0025710000000000004,0.13574,0.15123999999999999,0.0013573,0.0020857,0.13574,1.2398e-05,0.0003729,0.036989999999999995,0.0025716000000000003,4.67,0.013801,0.0,2
6000000000.0,0.002842,0.13574,0.15123999999999999,0.0013633,0.0020917,0.13574,6.676e-06,0.0003729,0.04582,0.00071433,4.649,0.013292,0.0,2
6300000000.0,0.002819,0.13574,0.15123999999999999,0.0013711,0.0021005999999999998,0.13574,1.8119e-05,0.0003729,0.027020000000000002,0.003428,4.511,0.012775000000000002,0.0,2
6600000000.0,0.0026639999999999997,0.13574,0.15123999999999999,0.0013809,0.0021105,0.13574,7.628999999999999e-06,0.0003729,0.06552,0.0004292,4.627000000000001,0.013343,0.0,2
6900000000.0,0.002741,0.13574,0.15123999999999999,0.0008144,0.0015429999999999999,0.13574,7.628999999999999e-06,0.0003729,0.02885,0.0007143,4.634,0.013444000000000001,0.0,2
7200000000.0,0.002876,0.13574,0.15123999999999999,0.0006942,0.0014239,0.13574,1.7166e-05,0.0003729,0.05151,0.003071,4.672000000000001,0.01341,0.0,2
7500000000.0,0.002648,0.13574,0.15123999999999999,0.000701,0.0014296,0.13574,8.582999999999999e-06,0.0003729,0.04053,0.0012141,4.371,0.012323,0.0,2
7800000000.0,0.002627,0.13574,0.15123999999999999,0.0007105,0.0014391,0.13574,6.676e-06,0.0003729,0.03186,0.00049973,4.486000000000001,0.012693,0.0,2
8100000000.0,0.002691,0.13574,0.15123999999999999,0.0007152,0.0014458000000000001,0.13574,7.628999999999999e-06,0.0003729,0.04868,0.0007143,4.7379999999999995,0.014258,0.0,2
8400000000.0,0.0025830000000000002,0.13574,0.15123999999999999,0.0007218999999999999,0.0014525,0.13574,1.3352e-05,0.0003729,0.030760000000000003,0.0024289999999999997,4.63,0.013909,0.0,2
8700000000.0,0.0027089999999999996,0.13574,0.15123999999999999,0.0007325,0.0014629,0.13574,2.5747999999999998e-05,0.0003729,0.03653,0.0031443,4.606999999999999,0.013786,0.0,2
9000000000.0,0.002535,0.13574,0.15123999999999999,0.0007400999999999999,0.0014696,0.13574,5.722e-06,0.0003729,0.023829999999999997,0.0004292,4.757,0.014356,0.0,2
9300000000.0,0.002554,0.13574,0.15123999999999999,0.0007448000000000001,0.0014753,0.13574,1.0491e-05,0.0003729,0.056729999999999996,0.0016423,4.53,0.01368,0.0,2
