time	mi	job_id	index	machine_id	evtype	user	s_class	priority	cpu	ram	disk	diff
952871467509	NULL	3418339	23	5796442	5	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
952871467512	NULL	3418339	23	NULL	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
952904285961	NULL	3418339	23	1433944256	1	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
1713754107352	NULL	3418339	12	317499484	5	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
1713754107355	NULL	3418339	12	NULL	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
1713755304479	NULL	3418339	12	6898788	1	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
1776822191946	NULL	3418339	19	1094326	5	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
1776822191949	NULL	3418339	19	NULL	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
1776823486165	NULL	3418339	19	1275537	1	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
742517668229	NULL	3418339	21	4469213375	5	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
742517668232	NULL	3418339	21	NULL	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
742567779089	NULL	3418339	21	424201240	1	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
752518794758	NULL	3418339	21	424201240	5	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
752518794761	NULL	3418339	21	NULL	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
752545026160	NULL	3418339	21	3539540276	1	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	0.1875	0.09839	8.612E-4	NULL
0	2	3418339	0	84899647	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	NULL	NULL	NULL	NULL
0	2	3418339	1	1268205	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	NULL	NULL	NULL	NULL
0	2	3418339	2	7753127	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	NULL	NULL	NULL	NULL
0	2	3418339	3	351621284	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	NULL	NULL	NULL	NULL
0	2	3418339	4	317488701	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	NULL	NULL	NULL	NULL
0	2	3418339	5	2595183881	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	NULL	NULL	NULL	NULL
0	2	3418339	6	621588868	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	NULL	NULL	NULL	NULL
0	2	3418339	7	4304743890	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	NULL	NULL	NULL	NULL
0	2	3418339	8	3938826162	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	NULL	NULL	NULL	NULL
0	2	3418339	9	351635981	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	NULL	NULL	NULL	NULL
0	2	3418339	10	5656207113	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	NULL	NULL	NULL	NULL
0	2	3418339	11	2055737168	0	70s3v5qRyCO/1PCdI6fVXnrW8FU/w+5CKRSa72xgcIo=	3	9	NULL	NULL	NULL	NULL
