job_id,	scheduling_class
3418309	3
3418314	3
3418319	3
3418324	3
3418329	3
3418334	3
3418339	3
3418356	3
3418363	3
3418368	3
3418375	3
3418380	3
3418385	3
3418390	3
3418395	3
3418400	3
3418405	3
3418412	3
3418417	3
3418422	3
3418427	3
3418432	3
3418437	3
3418442	3
6590371	3
6590376	3
6590381	3
6590386	3
6590391	3
6724944	3
6724949	3
6933047	3
6933059	2
7053513	3
15705910	2
17109330	3
35229152	2
39308684	3
39308688	3
39308692	3
46542951	3
86753913	3
98680993	3
105360316	3
106664144	3
109341524	3
109344935	3
124371644	3
154376113	2
155171765	3
182939990	3
192299653	3
209193844	3
212499161	3
215723520	2
232736649	3
246757899	1
259235987	2
259659137	3
260194510	2
261357632	2
261595273	2
287653404	3
292046988	2
307306810	2
315551614	3
318504156	2
331416465	3
341499666	2
350775748	3
370237482	3
384861629	2
411248937	2
430861762	3
437863928	2
437863935	2
437863939	2
447689838	3
494787089	3
494787097	3
516580766	3
516580966	2
519524647	2
519524649	2
609260421	2
611190167	3
616437105	3
616437107	3
616564438	3
620363598	2
643855116	2
643856032	2
683388149	3
685455037	2
685461029	2
685758680	3
685758751	1
693486635	2
693486637	2
696492866	2
698645235	2
699707924	2
699708719	2
700769429	2
700769431	2
718753271	2
740213574	2
752502434	2
752760242	3
766199538	2
771022573	2
771338739	1
793288022	2
793288025	2
793504208	2
840454103	2
871805047	3
873477572	2
925718046	2
955071036	2
969673897	2
969674408	2
971358055	3
986962601	3
1005190908	2
1005246041	3
1005831088	2
1005831090	2
1015033007	2
1097525707	2
1106173310	3
1128637731	2
1184713860	3
1202636597	3
1205597814	2
1218322450	3
1218322587	3
1221166900	2
1223177256	2
1223480094	2
1224526820	3
1270918872	2
1279055723	2
1287399870	2
1297383150	2
1297383672	1
1317485965	3
1322009214	1
1328506354	2
1329653148	3
1335742303	2
1342043214	3
1343463626	2
1343463628	2
1343463736	2
1348146260	2
1352452146	3
1358321947	2
1359172745	2
1369509944	3
1369509996	3
1388540198	1
1388566558	1
1389045295	2
1389045297	2
1393056113	3
1405507228	3
1409698667	3
1435139915	3
1465315935	3
1510326178	3
1519424054	2
1596061083	2
1623460225	2
1639398186	3
1650628364	2
1694710801	1
1699314250	3
1702125294	2
1743085591	3
1749222566	3
1750995765	2
1759618836	3
1814199765	2
1814199769	1
1814199904	1
1814199906	1
1814200178	1
1836173247	3
1843579567	3
1877300849	3
1883650996	2
1968678699	2
1983213445	1
1985957305	2
2020429258	3
2020809245	2
2024770216	3
2035323974	2
2052283888	2
2111561443	2
2151136976	3
2151505431	2
2153691877	2
2153691881	1
2189835419	2
2219020916	2
2221332292	2
2221332388	2
2225573296	1
2239205555	2
2278253484	3
2298780147	3
2299256394	2
2307126404	2
2307478927	2
2386085568	2
2419542725	2
2429933372	2
2436304495	3
2436304513	3
2437926070	3
2439759656	3
2481689374	2
2493669643	1
2503185264	2
2503185266	2
2509801301	2
2509801309	2
2509801316	2
2509801537	2
2548202279	2
2602370909	2
2624991179	2
2629682284	3
2629682302	3
2651959895	3
2653899069	2
2699599003	3
2715734498	1
2721624458	3
2721624573	3
2721800183	2
2721800640	2
2756110603	1
2759389886	2
2780813677	3
2780813754	3
2780813826	3
2780813989	1
2780814282	1
2780814322	2
2781977153	1
2800424218	3
2847314160	2
2859662171	3
2876140257	3
2876140269	3
2876140274	3
2887897936	3
2902878525	2
2902878580	2
2920095928	2
2920181565	1
2927166315	3
2939436917	2
2939504293	2
2939507935	2
2943347846	2
2947667961	2
2981740299	2
3007227894	1
3008175555	3
3009262516	3
3009262519	3
3009262522	3
3062872954	1
3066179158	2
3121668061	3
3128216606	3
3137730237	3
3156704984	2
3176007645	3
3214733131	2
3221686667	2
3226021697	2
3226021707	2
3228838930	3
3228839619	3
3233999021	2
3239336321	2
3244822959	3
3244832720	3
3244847846	1
3244870802	0
3255609707	3
3256949131	0
3303083898	2
3303084333	2
3304852209	2
3304852305	2
3320797850	2
3322572963	3
3355663137	2
3381379342	3
3404497452	2
3405957923	2
3414853085	2
3431229169	2
3466903612	3
3478528467	3
3511841320	3
3518017752	3
3528532484	2
3528532667	2
3528532728	2
3536441868	2
3537558367	3
3544612780	3
3544756919	3
3553754713	3
3568768186	2
3568768397	2
3570705675	2
3589194798	2
3589828274	3
3592534655	2
3600242317	3
3608394906	2
3620730856	3
3623260116	3
3623476482	2
3623946070	3
3629832358	2
3630669687	2
3635976171	2
3636560950	3
3638155221	2
3644402257	3
3663502429	2
3669607176	3
3669607308	3
3673031028	2
3674898158	3
3695027940	3
3695028243	3
3698335268	3
3716105913	2
3717263303	3
3717263307	3
3717263309	3
3717263311	3
3717263313	3
3717263317	3
3717263319	3
3717263325	3
3717263328	3
3717263356	3
3717264428	3
3717272781	3
3717273268	3
3717273515	3
3717273889	3
3720250606	2
3720276857	3
3724789731	2
3727144341	3
3727334302	3
3730490659	2
3737037305	2
3737037307	2
3737127911	2
3738146922	2
3758966589	2
3759260366	0
3759267910	0
3759278577	0
3759279896	0
3760052844	0
3760070065	0
3760073500	0
3760073532	0
3760073647	0
3763074646	3
3769731259	3
3769731849	3
3769731871	3
3769731987	3
3769732082	3
3769732502	3
3769733753	3
3769733917	3
3769733984	3
3769734076	3
